,Student,Hours_Studied,Attendance,Previous_Score,Final_Score,Improvement
23,Neha,6.8,87,92,79,-13
5,Ananya,7.3,92,49,69,20
20,Samar,5.8,98,85,68,-17
52,Rudra,6.0,91,93,67,-26
24,Yash,5.9,77,95,67,-28
44,Shaurya,6.3,76,67,64,-3
45,Vanya,6.1,67,92,63,-29
33,Siya,3.1,71,93,62,-31
19,Riya,4.9,78,74,62,-12
41,Navya,6.3,96,69,62,-7
0,Aarav,5.9,100,52,60,8
63,Mahi,5.9,64,90,59,-31
22,Varun,7.3,77,60,58,-2
42,Laksh,5.4,77,79,56,-23
76,Mihir,2.6,85,82,56,-26
18,Kunal,6.3,96,53,56,3
64,Ritvik,4.9,88,72,56,-16
14,Dev,3.6,87,78,55,-23
7,Ishita,6.0,62,66,55,-11
70,Pranav,2.0,76,78,54,-24
11,Nisha,7.0,59,70,54,-16
53,Anika,5.2,75,61,53,-8
60,Jay,5.2,60,63,53,-10
6,Arjun,5.8,69,83,53,-30
29,Maya,5.3,68,75,53,-22
39,Kiara,5.2,99,49,53,4
55,Pihu,6.0,67,71,53,-18
61,Tara,3.8,75,87,52,-35
77,Aarohi,5.1,74,82,52,-30
13,Kavya,6.3,88,61,52,-9
78,Darsh,4.4,69,92,52,-40
34,Nikhil,3.8,99,66,50,-16
75,Tanvi,2.5,88,78,50,-28
48,Om,5.3,67,72,50,-22
79,Palak,6.0,83,84,50,-34
3,Meera,5.4,73,78,50,-28
54,Vihaan,5.4,88,72,49,-23
69,Naina,3.6,63,50,49,-1
12,Rahul,5.0,90,54,48,-6
71,Lavanya,3.4,94,79,48,-31
26,Manav,3.8,62,67,48,-19
16,Aryan,4.4,87,79,48,-31
1,Diya,3.6,85,74,47,-27
43,Aanya,2.7,87,70,47,-23
28,Dhruv,1.6,65,76,46,-30
32,Harsh,2.8,82,52,46,-6
30,Reyansh,5.7,86,60,45,-15
56,Arnav,3.7,58,88,45,-43
67,Aisha,2.6,81,73,45,-28
46,Krish,3.2,90,53,44,-9
31,Avni,7.3,83,46,44,-2
36,Ved,1.4,70,68,43,-25
66,Siddharth,4.4,92,60,42,-18
72,Raghav,6.5,55,51,42,-9
57,Rashi,4.5,59,67,41,-26
2,Kabir,6.5,73,49,41,-8
37,Myra,3.8,60,84,41,-43
65,Ishani,4.4,69,52,40,-12
58,Aman,1.5,75,59,38,-21
62,Neil,4.5,87,45,38,-7
40,Atharv,3.6,71,59,37,-22
25,Ira,1.9,75,74,37,-37
47,Trisha,2.5,99,74,37,-37
9,Sara,3.7,56,47,36,-11
8,Vivaan,1.4,70,85,36,-49
49,Zara,1.5,90,69,35,-34
38,Parth,2.1,70,48,35,-13
27,Sanya,0.8,72,62,35,-27
4,Rohan,1.2,74,77,35,-42
74,Akash,0.9,77,57,35,-22
73,Samaira,2.1,89,59,35,-24
15,Priya,2.1,76,52,35,-17
59,Sneha,1.3,96,46,35,-11
50,Abhay,1.9,67,86,35,-51
68,Kartik,0.7,80,61,35,-26
51,Mira,0.6,87,58,35,-23
21,Aditi,3.0,62,53,35,-18
10,Aditya,3.1,59,54,35,-19
17,Tanya,0.9,62,50,35,-15
35,Anvi,1.8,59,69,35,-34
